generation,best,worst,bestEver,temperature
220,16291.7,19626.2,14629.4,500.433
221,16238.1,17967.1,14629.4,497.931
222,16330.2,18371.7,14629.4,495.441
223,16075.5,18796.9,14629.4,492.964
224,16075.5,18847.9,14629.4,490.499
225,16075.5,17839.9,14629.4,488.047
226,16302.1,17877.5,14629.4,485.607
227,16275.4,17938.3,14629.4,483.179
228,16230.8,19838.5,14629.4,480.763
229,16285.9,20511.1,14629.4,478.359
230,16279.3,17912.4,14629.4,475.967
231,16724.2,19473.6,14629.4,473.587
232,16917.7,19844.4,14629.4,471.219
233,16913.6,17740.5,14629.4,468.863
234,16860.7,18361.7,14629.4,466.519
235,17515.2,20466.9,14629.4,464.186
236,18002.6,19829.4,14629.4,461.866
237,17703.8,21883.5,14629.4,459.556
238,17403.2,20149.4,14629.4,457.258
239,16966.2,19897.5,14629.4,454.972
240,17104.1,18244,14629.4,452.697
241,17040.9,20525.9,14629.4,450.434
242,17037,19058.9,14629.4,448.182
243,17085.1,19486.4,14629.4,445.941
244,16841.7,18503.7,14629.4,443.711
245,16841.7,19350.8,14629.4,441.492
246,16703.8,18439.9,14629.4,439.285
247,16419,18657.6,14629.4,437.089
248,16419,18509.3,14629.4,434.903
249,16190.7,18216.8,14629.4,432.729
250,16049.9,17531.1,14629.4,430.565
251,16116.1,19586.8,14629.4,428.412
252,16046.9,18323.8,14629.4,426.27
253,15789.8,18475.5,14629.4,424.139
254,15674.8,18615.8,14629.4,422.018
255,16068.9,17466,14629.4,419.908
256,16068.9,20104.5,14629.4,417.808
257,16068.9,17869.9,14629.4,415.719
258,15909.7,17468.6,14629.4,413.641
259,15916.4,17565.5,14629.4,411.573
260,15789.5,17124.4,14629.4,409.515
261,16788.1,17503.8,14629.4,407.467
262,16762.5,18332.4,14629.4,405.43
263,16538.6,19454.3,14629.4,403.403
264,16712.3,19327.9,14629.4,401.386
265,16402.2,18170.3,14629.4,399.379
266,15917.7,17146.2,14629.4,397.382
267,15732.3,16942.9,14629.4,395.395
268,15771.9,18938.6,14629.4,393.418
269,15913.2,18325.5,14629.4,391.451
270,15977.1,18181.3,14629.4,389.494
271,16955.4,20216.7,14629.4,387.546
272,16955.4,19670.7,14629.4,385.608
273,16920.6,19283.6,14629.4,383.68
274,16920.6,19918.1,14629.4,381.762
275,16933.5,19519.5,14629.4,379.853
276,16548.1,19424.5,14629.4,377.954
277,16548.1,19861.5,14629.4,376.064
278,16548.1,19463.5,14629.4,374.184
279,16548.1,18081.2,14629.4,372.313
