generation,best,worst,bestEver
388,15680.4,14658.3,18760.9
389,15672.1,14658.3,18792.9
390,15647.4,14658.3,19399.6
391,15602,14658.3,17837
392,15658.8,14658.3,18767.7
393,15573.5,14658.3,19471.6
394,15547.3,14658.3,18789.3
395,15590.3,14658.3,18258.3
396,15684.6,14658.3,18961
397,15602.9,14658.3,19710.2
398,15572.7,14658.3,18959.4
399,15571.9,14658.3,18293.5
