generation,best,bestEver
827,5803.6,4615.43
828,5647.75,4615.43
829,5803.6,4615.43
830,5647.75,4615.43
831,5803.6,4615.43
832,5647.75,4615.43
833,5803.6,4615.43
834,5647.75,4615.43
835,5803.6,4615.43
836,5647.75,4615.43
837,5803.6,4615.43
838,5647.75,4615.43
839,5803.6,4615.43
840,5647.75,4615.43
841,5803.6,4615.43
842,5647.75,4615.43
843,5803.6,4615.43
844,5647.75,4615.43
845,5803.6,4615.43
846,5647.75,4615.43
847,5803.6,4615.43
848,5647.75,4615.43
849,5803.6,4615.43
850,5647.75,4615.43
851,5803.6,4615.43
852,5647.75,4615.43
853,5803.6,4615.43
854,5647.75,4615.43
855,5803.6,4615.43
856,5647.75,4615.43
857,5803.6,4615.43
858,5647.75,4615.43
859,5803.6,4615.43
860,5647.75,4615.43
861,5803.6,4615.43
862,5647.75,4615.43
863,5803.6,4615.43
864,5647.75,4615.43
865,5803.6,4615.43
866,5647.75,4615.43
867,5803.6,4615.43
868,5647.75,4615.43
869,5803.6,4615.43
870,5647.75,4615.43
871,5803.6,4615.43
872,5647.75,4615.43
873,5803.6,4615.43
874,5647.75,4615.43
875,5803.6,4615.43
876,5647.75,4615.43
877,5803.6,4615.43
878,5647.75,4615.43
879,5803.6,4615.43
880,5647.75,4615.43
881,5803.6,4615.43
882,5647.75,4615.43
883,5803.6,4615.43
884,5647.75,4615.43
885,5803.6,4615.43
886,5647.75,4615.43
887,5803.6,4615.43
888,5647.75,4615.43
889,5803.6,4615.43
890,5647.75,4615.43
891,5803.6,4615.43
892,5647.75,4615.43
893,5803.6,4615.43
894,5647.75,4615.43
895,5803.6,4615.43
896,5647.75,4615.43
897,5803.6,4615.43
898,5647.75,4615.43
899,5803.6,4615.43
900,5647.75,4615.43
901,5803.6,4615.43
902,5647.75,4615.43
903,5803.6,4615.43
904,5647.75,4615.43
905,5803.6,4615.43
906,5647.75,4615.43
907,5803.6,4615.43
908,5647.75,4615.43
909,5803.6,4615.43
910,5647.75,4615.43
911,5803.6,4615.43
912,5647.75,4615.43
913,5803.6,4615.43
914,5647.75,4615.43
915,5803.6,4615.43
916,5647.75,4615.43
917,5803.6,4615.43
918,5647.75,4615.43
919,5803.6,4615.43
920,5647.75,4615.43
921,5803.6,4615.43
922,5647.75,4615.43
923,5803.6,4615.43
924,5647.75,4615.43
925,5803.6,4615.43
926,5647.75,4615.43
927,5803.6,4615.43
928,5647.75,4615.43
929,5803.6,4615.43
930,5647.75,4615.43
931,5803.6,4615.43
932,5647.75,4615.43
933,5803.6,4615.43
934,5647.75,4615.43
935,5803.6,4615.43
936,5647.75,4615.43
937,5803.6,4615.43
938,5647.75,4615.43
939,5803.6,4615.43
940,5647.75,4615.43
941,5803.6,4615.43
942,5647.75,4615.43
943,5803.6,4615.43
944,5647.75,4615.43
945,5803.6,4615.43
946,5647.75,4615.43
947,5803.6,4615.43
948,5647.75,4615.43
949,5803.6,4615.43
950,5647.75,4615.43
951,5803.6,4615.43
952,5647.75,4615.43
953,5803.6,4615.43
954,5647.75,4615.43
955,5803.6,4615.43
956,5647.75,4615.43
957,5803.6,4615.43
958,5647.75,4615.43
959,5803.6,4615.43
960,5647.75,4615.43
961,5803.6,4615.43
962,5647.75,4615.43
963,5803.6,4615.43
964,5647.75,4615.43
965,5803.6,4615.43
966,5647.75,4615.43
967,5803.6,4615.43
968,5647.75,4615.43
969,5803.6,4615.43
970,5647.75,4615.43
971,5803.6,4615.43
972,5647.75,4615.43
973,5803.6,4615.43
974,5647.75,4615.43
975,5803.6,4615.43
976,5647.75,4615.43
977,5803.6,4615.43
